electrode1,electrode2,electrode3,electrode4,class
51.0,35.0,14.0,2.0,bilingual-L1
49.0,30.0,14.0,2.0,bilingual-L1
47.0,32.0,13.0,2.0,bilingual-L1
46.0,31.0,15.0,2.0,bilingual-L1
50.0,36.0,14.0,2.0,bilingual-L1
54.0,39.0,17.0,4.0,bilingual-L1
46.0,34.0,14.0,3.0,bilingual-L1
50.0,34.0,15.0,2.0,bilingual-L1
44.0,29.0,14.0,2.0,bilingual-L1
49.0,31.0,15.0,1.0,bilingual-L1
54.0,37.0,15.0,2.0,bilingual-L1
48.0,34.0,16.0,2.0,bilingual-L1
48.0,30.0,14.0,1.0,bilingual-L1
43.0,30.0,11.0,1.0,bilingual-L1
58.0,40.0,12.0,2.0,bilingual-L1
57.0,44.0,15.0,4.0,bilingual-L1
54.0,39.0,13.0,4.0,bilingual-L1
51.0,35.0,14.0,3.0,bilingual-L1
57.0,38.0,17.0,3.0,bilingual-L1
51.0,38.0,15.0,3.0,bilingual-L1
54.0,34.0,17.0,2.0,bilingual-L1
51.0,37.0,15.0,4.0,bilingual-L1
46.0,36.0,10.0,2.0,bilingual-L1
51.0,33.0,17.0,5.0,bilingual-L1
48.0,34.0,19.0,2.0,bilingual-L1
50.0,30.0,16.0,2.0,bilingual-L1
50.0,34.0,16.0,4.0,bilingual-L1
52.0,35.0,15.0,2.0,bilingual-L1
52.0,34.0,14.0,2.0,bilingual-L1
47.0,32.0,16.0,2.0,bilingual-L1
48.0,31.0,16.0,2.0,bilingual-L1
54.0,34.0,15.0,4.0,bilingual-L1
52.0,41.0,15.0,1.0,bilingual-L1
55.0,42.0,14.0,2.0,bilingual-L1
49.0,31.0,15.0,1.0,bilingual-L1
50.0,32.0,12.0,2.0,bilingual-L1
55.0,35.0,13.0,2.0,bilingual-L1
49.0,31.0,15.0,1.0,bilingual-L1
44.0,30.0,13.0,2.0,bilingual-L1
51.0,34.0,15.0,2.0,bilingual-L1
50.0,35.0,13.0,3.0,bilingual-L1
45.0,23.0,13.0,3.0,bilingual-L1
44.0,32.0,13.0,2.0,bilingual-L1
50.0,35.0,16.0,6.0,bilingual-L1
51.0,38.0,19.0,4.0,bilingual-L1
48.0,30.0,14.0,3.0,bilingual-L1
51.0,38.0,16.0,2.0,bilingual-L1
46.0,32.0,14.0,2.0,bilingual-L1
53.0,37.0,15.0,2.0,bilingual-L1
50.0,33.0,14.0,2.0,bilingual-L1
70.0,32.0,47.0,14.0,bilingual-L2
64.0,32.0,45.0,15.0,bilingual-L2
